Date,BB,FP
9 August 2020,0,0
10 August 2020,0,0
11 August 2020,0,0
12 August 2020,0,0
13 August 2020,0,1
14 August 2020,0,1
15 August 2020,0,0
16 August 2020,0,0
17 August 2020,0,0
18 August 2020,0,0
19 August 2020,0,0
20 August 2020,0,0
21 August 2020,0,0
22 August 2020,0,0
23 August 2020,0,1
24 August 2020,2,0
25 August 2020,0,0
26 August 2020,2,0
27 August 2020,0,0
28 August 2020,0,0
29 August 2020,0,1
30 August 2020,0,0
31 August 2020,0,0
1 September 2020,0,0
2 September 2020,0,0
3 September 2020,0,0
4 September 2020,1,0
5 September 2020,1,3
6 September 2020,2,0
7 September 2020,0,1
8 September 2020,0,0
9 September 2020,0,2
10 September 2020,0,8
11 September 2020,0,6
12 September 2020,0,2
13 September 2020,1,5
14 September 2020,0,8
15 September 2020,2,6
16 September 2020,0,17
17 September 2020,3,62
18 September 2020,1,84
19 September 2020,14,75
20 September 2020,10,83
21 September 2020,6,88
22 September 2020,63,67
23 September 2020,133,47
24 September 2020,2379,83
25 September 2020,61348,767
26 September 2020,879,190
27 September 2020,195,67
28 September 2020,383,119
29 September 2020,49,36
30 September 2020,120,47
1 October 2020,41,66
2 October 2020,46,52
3 October 2020,17,17
4 October 2020,11,38
5 October 2020,8,36
6 October 2020,2,49
7 October 2020,4,27
8 October 2020,7,41
9 October 2020,2,19
10 October 2020,2,13
11 October 2020,0,12
12 October 2020,2,49
13 October 2020,2,16
14 October 2020,0,22
15 October 2020,1,14
16 October 2020,0,12
17 October 2020,0,19
18 October 2020,0,22
19 October 2020,0,16
20 October 2020,0,29
21 October 2020,0,15
22 October 2020,0,10
23 October 2020,0,8
24 October 2020,0,5
25 October 2020,0,15
26 October 2020,0,27
27 October 2020,0,12
28 October 2020,0,3
29 October 2020,0,7
30 October 2020,0,8
31 October 2020,1,2
1 November 2020,1,11
2 November 2020,0,7
3 November 2020,0,3
4 November 2020,3,16
5 November 2020,2,29
6 November 2020,0,11
7 November 2020,1,7
8 November 2020,0,7
9 November 2020,5,24
10 November 2020,0,4
